PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
C	Syed, Ibrahim Hassan; McKeever, Susan; Feighan, Kieran; Power, David; O'Sullivan, Dympna				Power, David/JFK-1396-2023; mckeever, susan/F-5398-2017	mckeever, susan/0000-0003-1766-2441; Syed, Ibrahim/0000-0002-0480-989X	Corke, P; Detry, R; Weibel, JB; Christensen, HI; Vincze, M				A Deep Learning-Based Object Detection Framework for Automatic Asphalt Pavement Patch Detection Using Laser Profiling Images								COMPUTER VISION SYSTEMS, ICVS 2023		Lecture Notes in Computer Science		14253				208	219				10.1007/978-3-031-44137-0_18							Proceedings Paper	2023	2023	Road maintenance and the early detection of road defects rely on routine pavement inspections. While advanced 3D laser profiling systems have the capability to automatically identify certain types of distress such as cracks and ruts, more complex pavement damage, including patches, often require manual identification. To address this limitation, this study proposes an automated patch detection system that employs object detection techniques. The results demonstrate the ability of object detection models to accurately identify patches in laser profiling images, indicating that the proposed approach has the capability to significantly enhance automation in visual inspection processes. This has the potential for significant cost reduction in inspections, improved safety conditions during checks, and acceleration of the current manual inspection processes.					14th International Conference on Computer Vision Systems (ICVS)14th International Conference on Computer Vision Systems (ICVS)	SEP 27-29, 2023SEP 27-29, 2023		Vienna, AUSTRIAVienna, AUSTRIA	0	0	0	0	0	0	0			0302-9743	1611-3349	978-3-031-44136-3; 978-3-031-44137-0									Technol Univ, Sch Comp Sci, Dublin, IrelandPavement Management Serv Ltd Athenry Co, Galway, Ireland	Technol UnivPavement Management Serv Ltd Athenry Co			2024-03-19	WOS:001160756900018		
J	Jahanshahi, Mohammad R.; Jazizadeh, Farrokh; Masri, Sami F.; Becerik-Gerber, Burcin				Jazizadeh, Farrokh/P-8822-2014; Becerik-Gerber, Burcin/D-6897-2013	Jahanshahi, Mohammad Reza/0000-0001-6583-3087; Becerik-Gerber, Burcin/0000-0001-8648-0989					Unsupervised Approach for Autonomous Pavement-Defect Detection and Quantification Using an Inexpensive Depth Sensor								JOURNAL OF COMPUTING IN CIVIL ENGINEERING				27	6			743	754				10.1061/(ASCE)CP.1943-5487.0000245							Article	NOV 1 2013	2013	Current pavement condition-assessment procedures are extensively time consuming and laborious; in addition, these approaches pose safety threats to the personnel involved in the process. In this study, a RGB-D sensor is used to detect and quantify defects in pavements. This sensor system consists of a RGB color image, and an infrared projector and a camera that act as a depth sensor. An approach, which does not need any training, is proposed to interpret the data sensed by this inexpensive sensor. This system has the potential to be used for autonomous cost-effective assessment of road-surface conditions. Various road conditions including patching, cracks, and potholes are autonomously detected and, most importantly, quantified, using the proposed approach. Several field experiments have been carried out to evaluate the capabilities, as well as the limitations of the proposed system. The global positioning system information is incorporated with the proposed system to localize the detected defects. This approach has the potential to be deployed as a supplementary sensor system in pavement surface-assessment vehicles and reduce the operation cost. (C) 2013 American Society of Civil Engineers.									118	6	0	0	0	1	136			0887-3801	1943-5487										CALTECH, Jet Prop Lab, Pasadena, CA 91109 USAUniv So Calif, Viterbi Sch Engn, Sonny Astani Dept Civil & Environm Engn, Los Angeles, CA 90089 USA				2013-11-01	WOS:000325646200016		
J	Vyas, Vidhi; Patil, Vedant Jagdish; Singh, Ajit Pratap; Srivastava, Anshuman				Shrivastav, Anshuman/GQA-7574-2022; Singh, Ajit Pratap/L-9367-2019	Vyas, Vidhi/0000-0001-7791-1310; Srivastava, Anshuman/0000-0001-8598-6427; Singh, Ajit Pratap/0000-0001-5103-0486					Application of infrared thermography for debonding detection in asphalt pavements								JOURNAL OF CIVIL STRUCTURAL HEALTH MONITORING				9	3			325	337				10.1007/s13349-019-00337-8							Article	JUL 2019	2019	Conventional testing practices in pavement damage surveillance and maintenance such as coring tend to be slow, destructive in nature and not wholly representative of the entire stretch of the pavement. Newly emerging technologies based on non-destructive testing techniques, do not demand implementing destructive measures or relying on extrapolation of point data and can be implemented after developing them into a proper technique and a set testing protocol. One such emerging technique that uses infrared emissions from any structure to inspect underlying defects is infrared thermography (IRT). In a patch of pavement containing subsurface defects, the heat flow to the surface of the pavement, which itself depends on the incident solar radiation, ambient temperature and other meteorological factors, gets disrupted causing a difference in the thermal signature of the defective and the sound patches. This difference in thermal signature can potentially be detected by a thermal imaging camera. This study aims at exploring the potential of IRT technique to assess the subsurface debonding defect in asphalt pavements. For this purpose, an in situ asphalt pavement test section has been constructed and different interlayer bonding conditions have been artificially induced in it. A novel way for quantitative and qualitative analyses of thermal signatures, using MATLAB for each of these bonding conditions has been carried out. The effect of different debonding agents on the overall thermal behavior of asphalt pavement has also been evaluated. Interchange time duration between day heating and night cooling cycles has been estimated, to determine the suitable time duration for asphalt pavement inspection. The results, advantages, and limitations of the method have been presented.									27	1	0	0	0	0	27			2190-5452	2190-5479										Birla Inst Technol & Sci Pilani, Dept Civil Engn, Pilani, Rajasthan, India				2019-08-02	WOS:000476541200002		
J	Hadjidemetriou, Georgios M.; Vela, Patricio A.; Christodoulou, Symeon E.				Hadjidemetriou, Georgios/AAK-3980-2020	Vela, Patricio/0000-0002-6888-7002; Hadjidemetriou, Georgios M./0000-0002-6368-7976					Automated Pavement Patch Detection and Quantification Using Support Vector Machines								JOURNAL OF COMPUTING IN CIVIL ENGINEERING				32	1					04017073			10.1061/(ASCE)CP.1943-5487.0000724							Article	JAN 2018	2018	Pavement condition evaluation provides transportation authorities with decision support tools for the selection of appropriate repair or replace actions, thus preventing the possibility of transportation networks disruption. The current costly, time-consuming, and subjective pavement assessment tactics require automation, combined with the application of low-cost technologies for more widespread deployment. Presented herein is an automated vision-based method for detecting and quantifying pavement patches; a critical aspect of pavement surface valuation and rating. The proposed system uses road surface video frames acquired either by a smartphone or an external camera, positioned respectively inside and outside of a moving passenger vehicle. Support vector machine classification applied to feature vectors, generated from the image and defined by two texture descriptors plus the histogram of nonoverlapped square blocks, characterized image blocks as parts patch or no-patch areas. The output consists of block-based and image-based classifications, while applications of the method to test video frames demonstrates a detection accuracy of 87.3 and 82.5% respectively. Additionally, the patch area is quantified with a percent absolute error of 11.04%. (c) 2017 American Society of Civil Engineers.									64	0	0	0	4	0	67			0887-3801	1943-5487										Univ Cyprus, Dept Civil & Environm Engn, CY-1087 Nicosia, CyprusGeorgia Inst Technol, Dept Elect & Comp Engn, Atlanta, GA 30332 USA				2018-12-28	WOS:000425257300008		
J	Kyriakou, Charalambos; Christodoulou, Symeon E.; Dimitriou, Loukas					Christodoulou, Symeon E./0000-0002-9859-0381					Smartphone-Based Pothole Detection Utilizing Artificial Neural Networks								JOURNAL OF INFRASTRUCTURE SYSTEMS				25	3					04019019			10.1061/(ASCE)IS.1943-555X.0000489							Article	SEP 1 2019	2019	Roadway pavement maintenance to the preferred level of serviceability comprises one of the most challenging problems faced by civil and transportation engineers, with regard to transport infrastructure management. This paper presents a study on the detection of roadway pavement anomalies by use of smartphone sensors and on-board diagnostic (OBD-II) devices, which can lead to low-cost roadway infrastructure assessment. The proposed approach, which, in addition to smartphone sensors, also utilizes artificial neural network (ANN) techniques in the analysis, captures a vehicle's interaction with a roadway pavement while the vehicle is moving, and utilizes the observed interaction patterns for the detection of potholes in the pavement. The method utilizes four metrics in the analysis and shows a detection accuracy of about 90%. Preliminary results on the inclusion of additional roadway defects in the analysis and on the ability of the method to distinguish between potholes and other pavement defects (e.g., patches, local upheavals, rutting, and corrugation) have been positive. The study's results confirm the value of smartphone sensors in the low-cost (and eventually crowdsourced) detection of potholes.									29	0	0	0	0	0	30			1076-0342	1943-555X										Univ Cyprus, Dept Civil & Environm Engn, CY-1087 Nicosia, Cyprus				2019-08-02	WOS:000475476000004		
J	Shtayat, Amir; Obaidat, Mohammed T.; Al-Mistarehi, Bara'; Bader, Ahmad; Moridpour, Sara; Alahmad, Saja										Optimizing Road Pavement Assessment Using Advanced Image Processing Techniques								SUSTAINABILITY				17	6					2473			10.3390/su17062473							Article	MAR 11 2025	2025	The swift advancement in monitoring and evaluation systems for road pavement conditions highlights the crucial role that this field plays in ensuring the sustainability of roads. This, in turn, contributes to the growth and prosperity of nations and enables users to enjoy the highest levels of luxury and comfort. Despite numerous studies and ongoing research, finding the most precise and efficient monitoring systems to determine the type and severity of road defects, their causes, and appropriate treatments remains a challenge. This study proposes a system that employs a camera to create an application capable of evaluating road conditions with ease by taking images while driving over the road. Based on the results, the application was accurate in identifying road defects of different severity within the same category. The proposed method was compared to the Pavement Condition Index (PCI) method, and a significant match was found in determining the type and severity of each defect on the selected road sections. More clearly, the overall accuracy of detecting and classifying block cracks, alligator cracks, longitudinal cracks, and potholes was significant for detecting and classifying the patches.									0	0	0	0	0	0	0				2071-1050										Jordan Univ Sci & Technol, Dept City Planning & Design, Irbid 22110, JordanJordan Univ Sci & Technol, Dept Civil Engn, Irbid 22110, JordanJadara Univ, Fac Engn, Commun & Comp Dept, Irbid 21110, JordanRMIT Univ, Sch Engn, Melbourne 3001, Australia	Jadara Univ			2025-03-31	WOS:001453786500001		
C	Francoso, Maria Teresa; Mota, Carolina Oyanna; Sugahara Medeiros Lima, Tadeu Rosanti; Peixoto, Creso de Franco						KIm, YH; Yarlagadda, P				Nondestructive Testing in asphalt pavements using Ground Penetrating Radar (GPR)								SENSORS, MEASUREMENT AND INTELLIGENT MATERIALS, PTS 1-4		Applied Mechanics and Materials		303-306				525	+				10.4028/www.scientific.net/AMM.303-306.525							Proceedings Paper	2013	2013	This paper presents the results of using the system GPR (Ground Penetrating Radar), as an alternative that uses radio waves at frequencies from 10 to 2500 MHz to get data that enable non-destructive conduct inspections of underground or concrete structures in real time. The research aims to investigate asphalt pavements, analyzing the variations in the responses, which can reveal the presence of pathologies or defects. A case study was made acquiring data, at the State University of Campinas - UNICAMP, in Campinas - SP - Brazil, with antennae 270 and 1600 MHz, in pavements with visible defects of patching and alligator cracks, initially with the dry structure and later, wet. The results were processed in specialized software (Radan 7.0) to generate terrain profiles. The GPR showed effective when there is a change in material employed as in the case of patching, because it was possible to detect layers compromised by intensive request of traffic, the start and end of application of the patching and even deformations in the new layer. In contrast, the alligator cracking did not reach the same result, not presenting accuracy in recognizing the defect. The extent of defect was the only well defined feature in the images.					International Conference on Sensors, Measurement and Intelligent Materials (ICSMIM 2012)International Conference on Sensors, Measurement and Intelligent Materials (ICSMIM 2012)	DEC 26-27, 2012DEC 26-27, 2012	Korea Maritime Univ; Univ Nottingham; Queensland Univ TechnolKorea Maritime Univ; Univ Nottingham; Queensland Univ Technol	Guilin, PEOPLES R CHINAGuilin, PEOPLES R CHINA	3	0	0	0	0	0	3			1660-9336		978-3-03785-652-9									Univ Estadual Campinas, UNICAMP, Sch Civil Engn Architecture & Urban Design FEC, Av Albert Einstein 951, BR-13083852 Campinas, SP, Brazil				2013-08-21	WOS:000320625500107		
J	Mettas, Christodoulos; Agapiou, Athos; Themistocleous, Kyriacos; Neocleous, Kyriacos; Hadjimitsis, Diofantos; Michaelides, Silas				Michaelides, Silas/L-6405-2019; Neocleous, Kyriacos/D-4006-2016; HADJIMITSIS, DIOFANTOS/H-8813-2013; Michaelides, Silas/D-5547-2011; Mettas, Christodoulos/AAC-6355-2020; Agapiou, Athos/J-3960-2015	Neocleous, Kyriacos/0000-0002-2445-5814; HADJIMITSIS, DIOFANTOS/0000-0002-2684-547X; Michaelides, Silas/0000-0002-3853-5065; Mettas, Christodoulos/0000-0002-7262-8556; Themistocleous, Kyriacos/0000-0002-1227-8240; Themistocleous, Kyriacos/0000-0003-4149-8282; Agapiou, Athos/0000-0001-9106-6766					Risk provision using field spectroscopy to identify spectral regions for the detection of defects in flexible pavements								NATURAL HAZARDS				83				S83	S96				10.1007/s11069-016-2262-8						1	Article; Proceedings Paper	OCT 2016	2016	Natural and physical hazards accelerate the deterioration of asphalted surfaces. Climatic factors are unavoidable and can affect the properties of asphalt mixtures, making them weaker and less durable. Thus, continuous monitoring of bituminous surfaces is something that can reduce the risks of public health. Remote sensing techniques have become an effective, noninvasive method for early detection of damaged asphalt pavements. This paper outlines a range of different remote sensing methodologies that can be used to monitor asphalt road pavements. This is complemented by the use of field spectroscopy for the examination of asphalt pavements of varying age and conditions. The results of the study found spectral differences regarding asphalt defects, such as physical cracking, patched cracking and polishing. These spectral changes were examined through "in-band" simulation analysis of the Landsat 7 ETM+ sensor, using appropriate relative spectral response filters, concluding that the ratio band 5/band 1 can be used to distinguish asphalt pavements of different date of construction and condition.					3rd International Conference on Remote Sensing and Geoinformation of the Environment (RSCy)3rd International Conference on Remote Sensing and Geoinformation of the Environment (RSCy)	MAR 16-19, 2015MAR 16-19, 2015	Cyprus Univ Technol; Cyprus Remote Sensing Soc; European Space Agcy; Cyprus Sci & Tech Chamber; Dept Meteorol; Minist Def; Minist Commun & Works, Dept Elect Commun; Agr Res Inst; Grp Earth Observat; DLR; Hellas Sat; Neapolis Univ; Frederick Univ; Intergraph; GeoSystems Hellas; I BEC; Si Cluster; Spectra Vista Corp; Agisoft; QuestUAV; SPOLMHK; SODAP; Smart Events; Municipal Pafos; Municipal Geroskipou; Pegeia MunicipalCyprus Univ Technol; Cyprus Remote Sensing Soc; European Space Agcy; Cyprus Sci & Tech Chamber; Dept Meteorol; Minist Def; Minist Commun & Works, Dept Elect Commun; Agr Res Inst; Grp Earth Observat; DLR; Hellas Sat; Neapolis Univ; Frederick Univ; Intergraph; GeoSystems Hellas; I BEC; Si Cluster; Spectra Vista Corp; Agisoft; QuestUAV; SPOLMHK; SODAP; Smart Events; Municipal Pafos; Municipal Geroskipou; Pegeia Municipal	Paphos, CYPRUSPaphos, CYPRUS	8	0	0	0	0	0	8			0921-030X	1573-0840										Cyprus Univ Technol, Fac Engn & Technol, Dept Civil Engn & Geomat, 2-6 Saripolou St, CY-3603 Limassol, Cyprus				2017-01-11	WOS:000390688900007		
J	Xu, Yiming; Sun, Fei; Wang, Li				Xu, Yiming/HGV-2030-2022	sun, fei/0000-0002-1623-531X					YOLOv5-PD: A Model for Common Asphalt Pavement Defects Detection								JOURNAL OF SENSORS				2022						7530361			10.1155/2022/7530361							Article	NOV 29 2022	2022	In asphalt pavement detection, the defect scale changes greatly, mainly including mesh cracks, patches, and potholes. In the case of large scale, the texture feature is not clear, and the information is easily lost in the feature extraction process. Correspondingly, the number of small-scale holes is often very large, which also puts forward higher requirements for the detection model. In view of the above problems, this paper proposed a model for common asphalt pavement defects detection called YOLOv5-PD. In order to reduce the loss of information and expand the receptive field of the model, Big Kernel convolution was used to replace a part of the convolution in the original CSPDarknet. The texture feature information of the cracks is retained to the greatest extent. In order to enhance the detection performance of small defects, convolution channel attention mechanism was added after each feature fusion layer, and performs attention processing on the feature map after concat to find the defect location. This study used a public pavement defect dataset from Brazil. In this work, ablation experiments were carried out according to the task scenario, and the improved effects were compared and analyzed. The proposed model is compared with other versions of models and advanced models, which proves the superiority of the proposed model. The mAP of proposed model reached 73.3% and the model inference speed reached 41FPS, which can meet real time engineering application requirements.									8	0	0	0	0	0	8			1687-725X	1687-7268										Nantong Univ, Sch Elect Engn, Nantong 226019, Jiangsu, Peoples R China				2022-12-24	WOS:000896031900001		
C	Jahanshahi, Mohammad R.; Jazizadeh, Farrokh; Masri, Sami F.; Becerik-Gerber, Burcin				Jazizadeh, Farrokh/P-8822-2014; Becerik-Gerber, Burcin/D-6897-2013	Becerik-Gerber, Burcin/0000-0001-8648-0989	Tomizuka, M; Yun, CB; Lynch, JP				A novel system for road surface monitoring using an inexpensive infrared laser sensor								SENSORS AND SMART STRUCTURES TECHNOLOGIES FOR CIVIL, MECHANICAL, AND AEROSPACE SYSTEMS 2012, PTS 1 AND 2		Proceedings of SPIE		8345						834520			10.1117/12.915427							Proceedings Paper	2012	2012	In this study, an inexpensive depth sensor is used to identify defects in pavements. This depth sensor consists of an infrared projector and camera. An innovative approach is proposed to interpret the data acquired by this sensor. The proposed system in this study is a breakthrough achievement for autonomous cost-effective condition assessment of roads and transportation systems. Various road conditions including patching, cracks, and potholes can be robustly and autonomously assessed using the proposed approach. Several field experiments have been carried out to evaluate the capabilities of this system. The field tests clearly demonstrate the superior features of the developed system in this study compared to conventional approaches for pavement evaluation.					Conference on Sensors and Smart Structures Technologies for Civil, Mechanical, and Aerospace SystemsConference on Sensors and Smart Structures Technologies for Civil, Mechanical, and Aerospace Systems	MAR 12-15, 2012MAR 12-15, 2012	SPIE; Amer Soc Mech Engineers; Asian-Pacific Network Ctr Res Smart Struct Technol (ANCRiSST)SPIE; Amer Soc Mech Engineers; Asian-Pacific Network Ctr Res Smart Struct Technol (ANCRiSST)	San Diego, CASan Diego, CA	3	0	0	0	0	0	3			0277-786X	1996-756X	978-0-8194-9002-5									Univ So Calif, Sonny Astani Dept Civil & Environm Engn, Los Angeles, CA 90089 USA				2012-06-13	WOS:000304192100051		
J	Issa, Amjad; Sammaneh, Haya; Abaza, Khaled				Abaza, Khaled/AAF-6571-2021	Sammaneh, Haya/0000-0003-4192-718X					Modeling Pavement Condition Index Using Cascade Architecture: Classical and Neural Network Methods								IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY-TRANSACTIONS OF CIVIL ENGINEERING				46	1			483	495				10.1007/s40996-021-00678-9					JUN 2021		Article	FEB 2022	2022	Currently, Palestinian municipalities define pavement conditions using detailed visual inspection. This procedure is expensive and time consuming. The new proposed model contributes to reducing both time and cost incurred by identifying a new model that considers machine-learning techniques rather than the conventional ASTM procedure. The authors studied the most common six pavement defects. These defects are alligator cracks, patching, longitudinal, and transverse cracks, shoving, and potholes. An optimized hybrid model is developed to determine the Pavement Condition Index (PCI) based on the FHWA Long-Term Pavement Performance (LTPP) database. The model follows a cascade architecture with three classical machine learning models followed by a neural network model. Using the neural network model as a second stage in the chain allows the model to focus its power on the nonlinear curve estimation to further reduce the errors. Finally, out-of-sample performance analysis as well as a cross-validation analysis is carried out to check the robustness of the model. The results show that the model estimates PCI with high degree of accuracy.									12	0	0	0	0	0	12			2228-6160	2364-1843										An Najah Natl Univ, Civil Engn Dept, POB 7, Nablus, PalestineAn Najah Natl Univ, Comp Engn Dept, POB 7, Nablus, PalestineBirzeit Univ, Civil Engn Dept, POB 14, Birzeit, Palestine				2021-06-14	WOS:000658980600001		
J	Serafim, Mateus de Oliveira; de Sousa, Cornelio Albuquerque; de Almeida, Lucas Cavalcante; Babadopulos, Lucas Feitosa de Albuquerque Lima; Gomes, Joao Paulo Pordeus; Soares, Jorge Barbosa				; Soares, Jorge/D-4915-2013; Babadopulos, Lucas/HKW-4797-2023; Gomes, Joao/G-5706-2015	Cavalcante de Almeida, Lucas/0000-0002-3756-2141; Soares, Jorge/0000-0002-2940-6309; Babadopulos, Lucas/0000-0002-9250-2635; Gomes, Joao/0000-0003-1686-595X; Albuquerque de Sousa, Cornelio/0000-0002-1018-5657					Automated Detection of Defects and Vertical Signs on Roadways Using Images Produced by Drivers								JOURNAL OF TESTING AND EVALUATION				51	4			1897	1911				10.1520/JTE20220298					NOV 2022		Article	JUL 2023	2023	The process of evaluating pavement performance, conventionally performed by visual surveys, tends to be slow and inefficient in countries with extensive networks. The development of object detection algorithms and the popularization of smartphones open the possibility of more automated evaluation processes. This paper proposes the evaluation of the detection of vertical road signs and pavement defects from images produced by drivers using computer vision techniques. A collected set of YouTube videos produced by Brazilian drivers was used to train and validate a convolution neural network model. Results indicated an overall precision of 74.9 %, with observed detection deficiency only for longitudinal cracks and alligator cracking. Potholes, patches, and traffic signs are properly detected (precision between 73 and 95 %, depending on the detected object) for pavement management applications. Provided the diversity of data produced in videos and the overall results obtained in this research, the work herein indicates the possibility of massive citizen participation in the data collection process toward roadway quality.									4	0	0	0	0	0	4			0090-3973	1945-7553										Univ Fed Ceara, Ac Publ, 708 Campus Pici, BR-60020903 Fortaleza, Ceara, BrazilCtr Univ UniChristus, Nucleo Tecnol, Ave Dom Luis 911, BR-60160230 Fortaleza, Ceara, BrazilUniv Fed Ceara, Dept Engn Estrutural & Construcao Civil, 733 R Planalto P, BR-60020903 Fortaleza, CE, BrazilUniv Fed Ceara, Dept Computacao, BR-60020903 Fortaleza, Ceara, BrazilUniv Fed Ceara, Dept Engn Transporte, Campus Pici,Bloco 703, BR-60020903 Fortaleza, Ceara, Brazil	Ctr Univ UniChristus			2022-12-17	WOS:000893244800001		
J	YANG, SUNGCHUL										Construction and Design Related Issues in Road Widening for Concrete Pavement			콘크리트포장 확장접속부의 시공 및 설계상의 문제점 분석						한국도로학회논문집			8	4			25	36											research-article	2006	2006	Through field surveys and evaluation on several widened concrete pavements, issues on construction and design related problems are broken down into three categories to be discussed; poor smoothness, influence of traffic vibration on concrete curing, and poor connection to the existing pavement. There are many places where about 100mm only of the marginal strip is removed and where defects such as widening and faulting are observed. Also cracks arise again from the patched areas due to stress concentration near the joint. Roughness on the widened concrete pavement was evaluated and there are some stations where the smoothness limit is over passed. For design consideration, shortage of the required force in the tie-bar is expected in case of road widening specially from 3 lanes to 4 lanes. Finally the average pull-out force of specimens made from the current practice was about 57% of the required force. New connecting methods were suggested in this study.									1	0	0	0	0	0	1			1738-7159															2006-01-01	KJD:ART001029589		
C	Radopoulou, Stefania C.; Brilakis, Ioannis; Doycheva, Kristina; Koch, Christian				Koch, Christian/D-7286-2016; Brilakis, Ioannis/H-5369-2013; Koch, Christian/L-5725-2015	Brilakis, Ioannis/0000-0003-1829-2083; Koch, Christian/0000-0002-6170-7611	Perdomo-Rivera, JL; Gonzalez-Quevedo, A; Lopez DelPuerto, C; Maldonado-Fortunet, F; Molina-Bas, OI				A Framework for Automated Pavement Condition Monitoring								CONSTRUCTION RESEARCH CONGRESS 2016: OLD AND NEW CONSTRUCTION TECHNOLOGIES CONVERGE IN HISTORIC SAN JUAN								770	779											Proceedings Paper	2016	2016	Pavement condition monitoring is mainly performed manually. Inspectors are driving or walking the road network bare-eyed to look for irregularities. Moreover, processing the collected data for understanding the road condition is also a manual task. In this paper, a framework that automates the process is presented. Video data collected from the car's parking camera is utilized to detect defects in frames. Simultaneously, elevation signals collected from accelerometers attached to the car are processed to reconstruct the profile of the road and detect defects associated with its z-axis, such as bumps. A GPS device is synchronized with the other sensors to acquire the data's geolocation. Detected defects are then classified according to their type and their severity is assessed. All information is then transferred via 4G network to a central server, where the Road Condition Index of road segments necessary to classify roads is calculated. Finally, everything is saved in a Pavement Management System. Preliminary results on the processing of video data demonstrate the frameworks' promising application. The initial identification of frames including defects produces an accuracy of 96% and approximately 97% precision. Further experiments on such frames, aiming at the detection of potholes, patches and three different types of cracks result in over 84% overall accuracy and over 85% precision.					Construction Research CongressConstruction Research Congress	MAY 31-JUN 02, 2016MAY 31-JUN 02, 2016	Amer Soc Civil Engineers, Construct Inst, Construct Res CouncilAmer Soc Civil Engineers, Construct Inst, Construct Res Council	Univ Puerto Rico Mayaguez, Dept Civil Engn & Surveying, Construct Engn & M, San Juan, PRUniv Puerto Rico Mayaguez, Dept Civil Engn & Surveying, Construct Engn & M, San Juan, PR	20	0	0	0	0	0	21					978-0-7844-7982-7									Univ Cambridge, Dept Engn, ISG 62,Trumpington St, Cambridge CB2 1PZ, EnglandUniv Cambridge, Dept Engn, Construct Engn, BC2-07,Trumpington St, Cambridge CB2 1PZ, EnglandRuhr Univ Bochum, Chair Comp Engn, Univ Str 150, D-44801 Bochum, GermanyUniv Nottingham, Fac Engn, Bldg Informat Modelling, Room B27 Coates Bldg,Univ Pk, Nottingham NG7 2RD, England				2016-01-01	WOS:000389279901027		
C	Busgaib Goncalves, Haikel Buganem; Paz, Klayver Bezerra; Babadopulos, Lucas Feitosa de A. L.; Soares, Jorge Barbosa; de Almeida Veras, Marcelo Bruno				Babadopulos, Lucas/HKW-4797-2023	Babadopulos, Lucas/0000-0002-9250-2635	Pereira, P; Pais, J				Continuous Visual Survey of Road Pavement Using Convolutional Neural Networks and Smartphone Technology: A Data-Driven Approach								PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON MAINTENANCE AND REHABILITATION OF PAVEMENTS, MAIREPAV-10, VOL 2		Lecture Notes in Civil Engineering		523				203	213				10.1007/978-3-031-63584-7_21							Proceedings Paper	2024	2024	In order to reduce costs and time associated with road quality assessment, a Pavement Management System (PMS) must embrace survey methods that expedite processes and minimize the demand for expensive procedures. With the widespread use of smartphones, numerous studies leverage these tools to simplify measurement processes. Additionally, the integration of computer vision (CV) with machine learning and artificial intelligence (AI) techniques has enabled accurate detection of pavement defects, providing foundation for road maintenance planning with less resources. This article develops and evaluates the accuracy of an alternative Continuous Visual Survey (CVS) process using a smartphone mounted on a vehicle's windshield, coupled with AI tools for detecting cracks, patches, and potholes on road pavements. An Android application was developed for smartphones to capture photos while simultaneously collecting time and GPS data. The collected data were split into two groups, with the first group used for training Convolutional Neural Network (CNN) models and the second for testing. The developed model showed an average precision of 0.72, recall of 0.50, and a mAP (Medium Average Precision) of 0.54 in detecting defects on the pavement. Indicating the potential effectiveness of AI in accurately computing road distresses.					10th International Conference on Maintenance and Rehabilitation of Pavements (MAIREPAV)10th International Conference on Maintenance and Rehabilitation of Pavements (MAIREPAV)	JUL 24-26, 2024JUL 24-26, 2024		Univ Minho, Guimaraes, PORTUGALUniv Minho, Guimaraes, PORTUGAL	0	0	0	0	0	0	0			2366-2557	2366-2565	978-3-031-63586-1; 978-3-031-63584-7; 978-3-031-63583-0									Univ Fed Ceara, Dept Engn Transportes, Fortaleza, Ceara, BrazilUniv Fed Ceara, Dept Engn Estrutural & Construcao Civil, Fortaleza, Ceara, Brazil				2024-10-12	WOS:001310093100021		
J	Eslami, Elham; Yun, Hae-Bum					Yun, Hae-Bum/0000-0003-0703-8012					Attention-Based Multi-Scale Convolutional Neural Network (A plus MCNN) for Multi-Class Classification in Road Images								SENSORS				21	15					5137			10.3390/s21155137							Article	AUG 2021	2021	Automated pavement distress recognition is a key step in smart infrastructure assessment. Advances in deep learning and computer vision have improved the automated recognition of pavement distresses in road surface images. This task remains challenging due to the high variation of defects in shapes and sizes, demanding a better incorporation of contextual information into deep networks. In this paper, we show that an attention-based multi-scale convolutional neural network (A+MCNN) improves the automated classification of common distress and non-distress objects in pavement images by (i) encoding contextual information through multi-scale input tiles and (ii) employing a mid-fusion approach with an attention module for heterogeneous image contexts from different input scales. A+MCNN is trained and tested with four distress classes (crack, crack seal, patch, pothole), five non-distress classes (joint, marker, manhole cover, curbing, shoulder), and two pavement classes (asphalt, concrete). A+MCNN is compared with four deep classifiers that are widely used in transportation applications and a generic CNN classifier (as the control model). The results show that A+MCNN consistently outperforms the baselines by 1 similar to 26% on average in terms of the F-score. A comprehensive discussion is also presented regarding how these classifiers perform differently on different road objects, which has been rarely addressed in the existing literature.									32	1	0	0	0	0	33				1424-8220										Univ Cent Florida, Civil Environm & Construct Engn Dept, Orlando, FL 32816 USA				2021-08-01	WOS:000682222400001	34372380	
